FIPS,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIT LWC,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Taxes,MIDS Benefits,MIDS LW,MIDS Marriage Wage,MIDS Daycare Wage,MIDS Below LWC, 4xTC Taxes , 4xTC Benefits , 4xTC LW , 4xTC Marriage Wage , 4xTC Daycare Wage ,4xTC Below LWC, 8xTC Taxes , 8xTC Benefits , 8xTC LW , 8xTC Marriage Wage , 8xTC Daycare Wage ,8xTC Below LWC, Marriage Credit Taxes , Marriage Credit Benefits , Marriage Credit LWC , Marriage Credit Marriage Wage , Marriage Credit Daycare Wage ,Marriage Credit Below LWC,Daycare Tax, Daycare Benefits , Daycare LWC , Daycare Marriage Wage , Daycare Daycare Wage ,Daycare Below LWC, UBI_12k Tax , UBI_12k Benefits , UBI_12k LWC , UBI_12k Marriage Wage , UBI_12k Daycare Wage ,UBI_12k Below LWC, UBI_6k+MBI_12k Tax , UBI_6k+MBI_12k Benefits , UBI_6k+MBI_12k LWC , UBI_6k+MBI_12k Marriage Wage , UBI_6k+MBI_12k Daycare Wage ,UBI_6k+MBI_12k Below LWC, MBI_24k Tax , MBI_24k Benefits , MBI_24k LWC , MBI_24k Marriage Wage , MBI_24k Daycare Wage ,MBI_24k Below LWC, Expanded Safety Net Tax , Expanded Safety Net Benefits , Expanded Safety Net LWC , Expanded Safety Net Marriage Wage , Expanded Safety Net Daycare Wage ,Expanded Safety Net Below LWC
37035,7644,5983,6898,9859,6322,4284,7100,48090,5112,6898,12086,9382,3577,-3784,39190.07,2055.11,14249.72,0.43,-12359,-3784,-30307,0,4550,0.19,-41007,-3784,-34054,0,7484,0.21,4570,-23938,-25423,5358,9717,0.16,3577,-13707,-29951,0,9211,0.19,10016,-15784,-16389,2501,12478,0.1,8499,-27784,-32836,3709,11127,0.2,8419,-27784,-32836,3709,11127,0.2,4243,-3784,-33231,2947,11617,0.21
37153,7644,5983,6898,9859,6322,4284,7100,48090,6078,6898,12086,8457,3577,-3784,39190.07,0,16288.7,0.57,-12359,-3784,-30307,0,8101,0.37,-41007,-3784,-34054,0,7484,0.41,4570,-23938,-25423,0,13075,0.31,3577,-13707,-29951,0,11285,0.36,10016,-15784,-16389,0,16003,0.2,8499,-27784,-32836,1855,12982,0.4,8419,-27784,-32836,1855,12982,0.4,4243,-3784,-33231,0,13733,0.4
37057,7644,5983,6898,9859,6322,4284,7100,48090,5118,6898,12086,9439,3577,-3784,39190.07,0,14249.72,0.45,-12359,-3784,-30307,0,4550,0.21,-41007,-3784,-34054,0,7484,0.24,4570,-23938,-25423,0,9717,0.18,3577,-13707,-29951,0,9211,0.21,10016,-15784,-16389,0,12478,0.11,8499,-27784,-32836,0,11127,0.23,8419,-27784,-32836,0,11127,0.23,4243,-3784,-33231,0,11617,0.23
37023,7644,5983,6898,9859,6322,4284,7100,48090,5302,6898,12086,9353,3577,-3784,39190.07,0,14249.72,0.51,-12359,-3784,-30307,0,4550,0.24,-41007,-3784,-34054,0,7484,0.27,4570,-23938,-25423,0,9717,0.2,3577,-13707,-29951,0,9211,0.24,10016,-15784,-11756,4633,17111,0.09,8499,-27784,-32836,0,11127,0.26,8419,-27784,-32836,0,11127,0.26,4243,-3784,-33231,0,11617,0.27
37003,7644,5983,6898,9859,6322,4284,7100,48090,5309,6898,12086,9357,3577,-3784,39190.07,0,14249.72,0.48,-12359,-3784,-30307,0,4550,0.21,-41007,-3784,-34054,0,7484,0.24,4570,-23938,-25423,0,9717,0.18,3577,-13707,-29951,0,9211,0.21,10016,-15784,-11756,4633,17111,0.08,8499,-27784,-32836,0,11127,0.23,8419,-27784,-32836,0,11127,0.23,4243,-3784,-33231,0,11617,0.23
37027,7644,5983,6898,9859,6322,4284,7100,48090,5395,6898,12086,9349,3577,-3784,39190.07,0,14249.72,0.55,-12359,-3784,-24757,5550,10101,0.23,-41007,-3784,-34054,0,7484,0.32,4570,-23938,-25423,0,9717,0.24,3577,-13707,-29951,0,9211,0.28,10016,-15784,-11756,4633,17111,0.11,8499,-27784,-32836,0,11127,0.31,8419,-27784,-32836,0,11127,0.31,4243,-3784,-33231,0,11617,0.31
37013,7644,5983,6898,9859,6322,4284,7100,48090,5654,6898,12086,9135,3577,-3784,39190.07,0,14249.72,0.48,-12359,-3784,-24757,5550,10101,0.27,-41007,-3784,-34054,0,7484,0.37,4570,-23938,-25423,0,9717,0.28,3577,-13707,-29951,0,9211,0.33,10016,-15784,-11756,4633,17111,0.13,8499,-27784,-32836,0,12982,0.36,8419,-27784,-32836,0,12982,0.36,4243,-3784,-33231,0,11617,0.36
37107,7800,5983,6898,9859,6322,4284,7127,48273,5972,6898,12086,8699,3577,-3784,39190.07,0,14249.72,0.54,-12359,-3784,-24757,5550,10101,0.29,-41007,-3784,-34054,0,7484,0.4,4570,-23938,-25423,0,9717,0.3,3577,-13707,-29951,0,9211,0.35,10016,-15784,-11756,0,17111,0.14,8499,-27784,-32836,0,12982,0.38,8419,-27784,-32836,0,12982,0.38,4243,-3784,-31758,1474,15207,0.37
37111,7644,5983,6898,9859,6322,4284,7100,48090,6195,6898,12086,8712,3577,-3784,48402.24,9212.17,25500.87,0.55,-12359,-3784,-24757,5550,10101,0.26,-41007,-3784,-34054,0,7484,0.35,4570,-23938,-25423,0,9717,0.26,3577,-13707,-29951,0,11285,0.31,10016,-15784,-11756,0,17111,0.12,8499,-27784,-32836,0,12982,0.34,8419,-27784,-32836,0,12982,0.34,4243,-3784,-31758,1474,15207,0.33
37127,8076,5983,6898,9859,6322,4284,7174,48596,5682,6898,12086,8908,3577,-3784,48402.24,9212.17,23461.9,0.47,-12359,-3784,-24757,0,10101,0.18,-41007,-3784,-30312,3742,11225,0.22,4570,-23938,-25423,0,9717,0.19,3577,-13707,-29951,0,9211,0.22,10016,-15784,-11756,0,17111,0.09,8499,-27784,-32836,0,11127,0.24,8419,-27784,-32836,0,11127,0.24,4243,-3784,-31758,1474,13090,0.23
