FIPS,State,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Net,MIDS Taxes All,3x EITC Tax,Basic Income Tax,Mids Taxes Universal,MIT LWC,MIDS LWC,3x EITC,Basic Income,MIDS LWC 2
1107,AL,8460,14676,8887,11553,5471,5178,8416,14663,9524.235031,9232,11262,58319,8204,-15771,9860,8204,62641,66523,42548,68179,66523
1109,AL,9972,14676,8887,11553,5471,5178,8651,15509,9619.795917,9232,10156,59667,8204,-15771,9860,8204,64388,67871,43896,69527,67871
1111,AL,9144,14676,8887,11553,5471,5178,8522,14676,8887.162454,9232,11553,58670,8204,-15771,9860,8204,63431,66874,42899,68530,66874
1113,AL,11652,14676,8887,11553,5471,5178,8911,14011,9556.08866,9232,11051,60680,8757,-14795,10677,8757,66328,69437,45885,71357,69437
1115,AL,11712,14676,8887,11553,5471,5178,8921,20189,9556.08866,9232,11271,67139,10416,-11866,13128,10416,66398,77555,55273,80267,77555
1117,AL,11712,14676,8887,11553,5471,5178,8921,18153,9524.235031,9232,11272,65071,9863,-12842,12311,9863,66398,74934,52229,77382,74934
1119,AL,8460,14676,8887,11553,5471,5178,8416,14676,9046.430598,9232,11553,58145,8204,-15771,9860,8204,62641,66349,42374,68005,66349
1121,AL,9276,14676,8887,11553,5471,5178,8543,20802,9205.698742,9232,10111,63804,9310,-13819,11494,9310,63584,73114,49985,75298,73114
1123,AL,9372,14676,8887,11553,5471,5178,8557,14676,9428.674144,9232,11553,59440,8204,-15771,9860,8204,63694,67644,43669,69300,67644
1125,AL,12276,14676,8887,11553,5471,5178,9008,18576,9842.771319,9232,11266,66371,10416,-11866,13128,10416,67049,76787,54505,79499,76787
1127,AL,9384,14676,8887,11553,5471,5178,8559,15275,9110.137856,9232,11273,59452,8204,-15771,9860,8204,63708,67656,43681,69312,67656
1129,AL,10008,14676,8887,11553,5471,5178,8656,14676,9364.966886,9232,11553,60012,8757,-14795,10677,8757,64429,68769,45217,70689,68769
1131,AL,8460,14676,8887,11553,5471,5178,8416,14676,9587.942289,9232,11553,58687,8204,-15771,9860,8204,62641,66891,42916,68547,66891
1133,AL,9300,14676,8887,11553,5471,5178,8546,14676,9173.845113,9232,11553,59113,8204,-15771,9860,8204,63611,67317,43342,68973,67317
2013,AK,10656,18614,10607,9970,6461,5250,7092,18614,15131.40921,21553,9970,81174,11495,-7063,15316,11506,68650,92669,74111,96490,92680
2016,AK,21456,18614,10607,9970,6461,5250,8336,18614,19845.71761,21553,9970,96689,17919,5146,21452,17930,80694,114608,101835,118141,114619
2020,AK,20268,18614,10607,9970,6461,5250,8199,20440,12051.90131,21553,11171,90733,15510,567,19151,15521,79369,106243,91300,109884,106254
2050,AK,17700,18614,10607,9970,6461,5250,7903,18614,12622.18055,21553,9970,85709,13101,-4011,16850,13112,76505,98810,81698,102559,98821
2060,AK,16296,18614,10607,9970,6461,5250,7741,18614,12546.14332,21553,9970,84229,13101,-4011,16850,13112,74939,97330,80218,101079,97341
2068,AK,11268,18614,10607,9970,6461,5250,7162,18614,12470.10608,21553,9970,79125,10692,-8590,14549,10703,69332,89817,70535,93674,89828
2070,AK,15420,18614,10607,9970,6461,5250,7640,18614,12660.19916,21553,9970,83467,12298,-5537,16083,12309,73962,95765,77930,99550,95776
2090,AK,23448,18614,10607,9970,6461,5250,8565,23491,13192.45979,21553,10749,97683,17919,5146,21452,17930,82915,115602,102829,119135,115613
2100,AK,14460,18614,10607,9970,6461,5250,7530,18614,12089.91992,21553,9970,81937,11495,-7063,15316,11506,72892,93432,74874,97253,93443
2105,AK,10896,18614,10607,9970,6461,5250,7119,18614,11481.62207,21553,9970,77765,9889,-10116,13782,9900,68917,87654,67649,91547,87665
2110,AK,19128,18614,10607,9970,6461,5250,8068,20741,11367.56622,21553,11060,89100,14707,-959,18384,14718,78098,103807,88141,107484,103818
2122,AK,12420,18614,10607,9970,6461,5250,7295,18614,15473.57676,21553,9970,83281,12298,-5537,16083,12309,70617,95579,77744,99364,95590
2130,AK,17064,18614,10607,9970,6461,5250,7830,16845,11063.41729,21553,10473,82249,12298,-5537,16083,12309,75796,94547,76712,98332,94558
2150,AK,18084,18614,10607,9970,6461,5250,7947,18614,12584.16193,21553,9970,86055,13904,-2485,17617,13915,76933,99959,83570,103672,99970
2164,AK,11448,18614,10607,9970,6461,5250,7183,18614,12546.14332,21553,9970,79381,10692,-8590,14549,10703,69533,90073,70791,93930,90084
2170,AK,19116,18614,10607,9970,6461,5250,8066,16593,14218.96243,21553,10872,87602,13904,-2485,17617,13915,78084,101506,85117,105219,101517
2180,AK,20328,18614,10607,9970,6461,5250,8206,18614,15131.40921,21553,9970,90846,15510,567,19151,15521,79436,106356,91413,109997,106367
2185,AK,13992,18614,10607,9970,6461,5250,7476,18614,13344.53425,21553,9970,82724,12298,-5537,16083,12309,72370,95022,77187,98807,95033
2188,AK,17052,18614,10607,9970,6461,5250,7828,18614,14142.92519,21553,9970,86582,13904,-2485,17617,13915,75782,100486,84097,104199,100497
2195,AK,12372,18614,10607,9970,6461,5250,7289,18614,11481.62207,21553,9970,79241,10692,-8590,14549,10703,70563,89933,70651,93790,89944
2198,AK,10836,18614,10607,9970,6461,5250,7112,18614,11481.62207,21553,9970,77705,9889,-10116,13782,9900,68850,87594,67589,91487,87605
2220,AK,18960,18614,10607,9970,6461,5250,8048,18614,12051.90131,21553,9970,86399,13904,-2485,17617,13915,77910,100303,83914,104016,100314
2230,AK,16728,18614,10607,9970,6461,5250,7791,18614,11823.78961,21553,9970,83939,12298,-5537,16083,12309,75421,96237,78402,100022,96248
2240,AK,13836,18614,10607,9970,6461,5250,7458,18614,12508.1247,21553,9970,81731,11495,-7063,15316,11506,72196,93226,74668,97047,93237
2261,AK,14496,18614,10607,9970,6461,5250,7534,18614,12508.1247,21553,9970,82391,12298,-5537,16083,12309,72932,94689,76854,98474,94700
2270,AK,10848,18614,10607,9970,6461,5250,7114,18614,15131.40921,21553,9970,81366,11495,-7063,15316,11506,68864,92861,74303,96682,92872
2275,AK,14220,18614,10607,9970,6461,5250,7502,18614,12280.013,21553,9970,81887,11495,-7063,15316,11506,72624,93382,74824,97203,93393
2282,AK,12648,18614,10607,9970,6461,5250,7321,18614,12736.2364,21553,9970,80771,11495,-7063,15316,11506,70871,92266,73708,96087,92277
2290,AK,10608,18614,10607,9970,6461,5250,7086,18614,12660.19916,21553,9970,78655,10692,-8590,14549,10703,68596,89347,70065,93204,89358
4001,AZ,9564,6494,10607,9970,6477,5250,8776,6494,10987.38006,6913,9970,49178,4681,-20045,5149,4681,57138,53859,29133,54327,53859
4003,AZ,14352,6494,10607,9970,6477,5250,9465,6141,10531.15666,6913,9312,52499,5462,-19264,6326,5462,62615,57961,33235,58825,57961
4005,AZ,15552,6494,10607,9970,6477,5250,9638,5645,11215.49175,6913,10086,54661,5982,-18744,7110,5982,63988,60643,35917,61771,60643
4007,AZ,12528,6494,10607,9970,6477,5250,9203,5610,11177.47314,6913,8805,50284,4942,-19784,5542,4942,60529,55226,30500,55826,55226
4009,AZ,11424,6494,10607,9970,6477,5250,9044,6482,10835.30559,6913,9629,50533,4942,-19784,5542,4942,59266,55475,30749,56075,55475
4011,AZ,9516,6494,10607,9970,6477,5250,8769,6494,10607.19389,6913,9970,48750,4422,-20304,4758,4422,57083,53172,28446,53508,53172
4012,AZ,9912,6494,10607,9970,6477,5250,8826,6494,11025.39867,6913,9970,49564,4681,-20045,5149,4681,57536,54245,29519,54713,54245
4013,AZ,16920,6494,10607,9970,6477,5250,9835,8484,10835.30559,6913,9998,58400,7023,-16952,8679,7023,65553,65423,41448,67079,65423
4015,AZ,12180,6494,10607,9970,6477,5250,9152,6193,10911.34282,6913,8614,50061,4942,-19784,5542,4942,60130,55003,30277,55603,55003
4017,AZ,11184,6494,10607,9970,6477,5250,9009,7538,10797.28698,6913,9016,50698,4942,-19784,5542,4942,58991,55640,30914,56240,55640
4019,AZ,15012,6494,10607,9970,6477,5250,9560,6632,10797.28698,6913,9474,54078,5982,-18744,7110,5982,63370,60060,35334,61188,60060
4021,AZ,16920,6494,10607,9970,6477,5250,9835,6660,10417.10081,6913,9994,56154,6502,-17896,7894,6502,65553,62656,38258,64048,62656
4023,AZ,10068,6494,10607,9970,6477,5250,8848,8702,9276.542331,6913,9394,49604,4681,-20045,5149,4681,57714,54285,29559,54753,54285
4025,AZ,13860,6494,10607,9970,6477,5250,9394,7272,11101.4359,6913,9005,53401,5462,-19264,6326,5462,62052,58863,34137,59727,58863
4027,AZ,14364,6494,10607,9970,6477,5250,9467,5749,9428.616796,6913,9334,51039,4942,-19784,5542,4942,62629,55981,31255,56581,55981
5001,AR,8700,10687,8887,11553,5635,5178,7939,10687,8982.72334,9880,11553,54981,7480,-17246,8608,7480,58579,62461,37735,63589,62461
5003,AR,9120,10687,8887,11553,5635,5178,7998,10687,8855.308825,9880,11553,55273,7480,-17246,8608,7480,59058,62753,38027,63881,62753
5005,AR,10488,10687,8887,11553,5635,5178,8189,12910,9014.576969,9880,9736,57207,8073,-16325,9465,8073,60617,65280,40882,66672,65280
5007,AR,12108,10687,8887,11553,5635,5178,8416,14278,8632.333423,9880,11437,61513,9259,-14293,11179,9259,62464,70772,47220,72692,70772
5009,AR,9408,10687,8887,11553,5635,5178,8038,12018,7549.310041,9880,10211,54244,7480,-17246,8608,7480,59386,61724,36998,62852,61724
5011,AR,9768,10687,8887,11553,5635,5178,8088,10687,8950.869711,9880,11553,56017,8073,-16325,9465,8073,59796,64090,39692,65482,64090
5013,AR,8388,10687,8887,11553,5635,5178,7895,11865,8887.162454,9880,10083,54281,7480,-17246,8608,7480,58223,61761,37035,62889,61761
5015,AR,9936,10687,8887,11553,5635,5178,8112,10687,8313.797134,9880,11553,55548,7480,-17246,8608,7480,59988,63028,38302,64156,63028
5017,AR,9924,10687,8887,11553,5635,5178,8110,10687,8982.72334,9880,11553,56205,8073,-16325,9465,8073,59974,64278,39880,65670,64278
5019,AR,9024,10687,8887,11553,5635,5178,7984,13962,8887.162454,9880,10070,57000,8073,-16325,9465,8073,58948,65073,40675,66465,65073
5021,AR,8736,10687,8887,11553,5635,5178,7944,10687,7772.285443,9880,11553,53806,6887,-17839,7751,6887,58620,60693,35967,61557,60693
5023,AR,9192,10687,8887,11553,5635,5178,8008,10687,9014.576969,9880,11553,55505,7480,-17246,8608,7480,59140,62985,38259,64113,62985
5025,AR,9780,10687,8887,11553,5635,5178,8090,12470,8919.016082,9880,10264,56491,8073,-16325,9465,8073,59810,64564,40166,65956,64564
5027,AR,9480,10687,8887,11553,5635,5178,8048,11493,9269.406,9880,10158,55458,7480,-17246,8608,7480,59468,62938,38212,64066,62938
5029,AR,9264,10687,8887,11553,5635,5178,8018,10687,8218.236247,9880,11553,54780,7480,-17246,8608,7480,59222,62260,37534,63388,62260
5031,AR,10356,10687,8887,11553,5635,5178,8171,13781,8696.04068,9880,10489,58379,8666,-15309,10322,8666,60467,67045,43070,68701,67045
5033,AR,9588,10687,8887,11553,5635,5178,8063,12216,8600.479794,9880,10581,56044,8073,-16325,9465,8073,59591,64117,39719,65509,64117
5035,AR,12792,10687,8887,11553,5635,5178,8512,11317,8982.72334,9880,11465,59615,8666,-15309,10322,8666,63244,68281,44306,69937,68281
5037,AR,9852,10687,8887,11553,5635,5178,8100,10687,8823.455196,9880,11553,55973,7480,-17246,8608,7480,59892,63453,38727,64581,63453
5039,AR,9924,10687,8887,11553,5635,5178,8110,10687,8919.016082,9880,11553,56141,8073,-16325,9465,8073,59974,64214,39816,65606,64214
5041,AR,9240,10687,8887,11553,5635,5178,8014,10687,8855.308825,9880,11553,55393,7480,-17246,8608,7480,59194,62873,38147,64001,62873
5043,AR,9684,10687,8887,11553,5635,5178,8077,10687,9078.284227,9880,11553,56060,8073,-16325,9465,8073,59701,64133,39735,65525,64133
5045,AR,12396,10687,8887,11553,5635,5178,8457,13408,9173.845113,9880,11414,61450,9259,-14293,11179,9259,62793,70709,47157,72629,70709
5047,AR,8676,10687,8887,11553,5635,5178,7935,10687,8218.236247,9880,11553,54192,7480,-17246,8608,7480,58551,61672,36946,62800,61672
5049,AR,8388,10687,8887,11553,5635,5178,7895,10687,8281.943505,9880,11553,53968,6887,-17839,7751,6887,58223,60855,36129,61719,60855
5051,AR,12564,10687,8887,11553,5635,5178,8480,13391,8664.187051,9880,10170,59847,8666,-15309,10322,8666,62984,68513,44538,70169,68513
5053,AR,9924,10687,8887,11553,5635,5178,8110,10289,8982.72334,9880,11427,55681,7480,-17246,8608,7480,59974,63161,38435,64289,63161
5055,AR,10260,10687,8887,11553,5635,5178,8157,11544,8919.016082,9880,10425,56206,8073,-16325,9465,8073,60357,64279,39881,65671,64279
