FIPS,State,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Net,MIDS Taxes All,3x EITC Tax,Basic Income Tax,Mids Taxes Universal,MIT LWC,MIDS LWC,3x EITC,Basic Income,MIDS LWC 2
29227,MO,5292,#N/A,5659,8320,4531,3699,3718,#N/A,5557.685821,7044,8320,29913,-3895,-2133,-20664,-624,31219,26018,27780,9249,29289
29229,MO,5292,#N/A,5659,8320,4531,3699,3718,#N/A,5091.164749,7044,8320,29446,-3895,-2133,-20664,-624,31219,25551,27313,8782,28822
29510,MO,7572,#N/A,5659,8320,4531,3699,4026,#N/A,5557.685821,7044,8253,32125,57,1819,-16448,3328,33807,32182,33944,15677,35453
30001,MT,5652,#N/A,6612,7382,4360,3971,3783,#N/A,6825.415088,7586,7382,31416,-7706,-2701,-21100,-1192,31760,23710,28715,10316,30224
30003,MT,6444,#N/A,6612,7382,4360,3971,3890,#N/A,6635.820225,7586,7382,32019,-7706,-2701,-21100,-1192,32659,24313,29318,10919,30827
30005,MT,5652,#N/A,6612,7382,4360,3971,3783,#N/A,6896.513162,7586,7382,31488,-7706,-2701,-21100,-1192,31760,23782,28787,10388,30296
30007,MT,5820,#N/A,6612,7382,4360,3971,3805,#N/A,6778.016372,7586,7382,31537,-7706,-2701,-21100,-1192,31950,23831,28836,10437,30345
30009,MT,6204,#N/A,6612,7382,4360,3971,3857,#N/A,6612.120867,7586,7306,31680,-7706,-2701,-21100,-1192,32386,23974,28979,10580,30488
30011,MT,6288,#N/A,6612,7382,4360,3971,3869,#N/A,6896.513162,7586,7382,32124,-7706,-2701,-21100,-1192,32482,24418,29423,11024,30932
30013,MT,5964,#N/A,6612,7382,4360,3971,3825,#N/A,6398.826645,7586,7073,30993,-7706,-2701,-21100,-1192,32114,23287,28292,9893,29801
30015,MT,6444,#N/A,6612,7382,4360,3971,3890,#N/A,6493.624077,7586,7382,31877,-7706,-2701,-21100,-1192,32659,24171,29176,10777,30685
30017,MT,6408,#N/A,6612,7382,4360,3971,3885,#N/A,6683.218941,7586,7382,32030,-7706,-2701,-21100,-1192,32618,24324,29329,10930,30838
30019,MT,5892,#N/A,6612,7382,4360,3971,3815,#N/A,7512.696469,7586,7382,32344,-7706,-2701,-21100,-1192,32032,24638,29643,11244,31152
30021,MT,5736,#N/A,6612,7382,4360,3971,3794,#N/A,7252.003531,7586,7382,31927,-7706,-2701,-21100,-1192,31855,24221,29226,10827,30735
30023,MT,6444,#N/A,6612,7382,4360,3971,3890,#N/A,6896.513162,7586,7382,32280,-7706,-2701,-21100,-1192,32659,24574,29579,11180,31088
30025,MT,6288,#N/A,6612,7382,4360,3971,3869,#N/A,7086.108026,7586,7382,32313,-7706,-2701,-21100,-1192,32482,24607,29612,11213,31121
