fips,year,state,food_cost,insurance_cost,healthcare_cost,housing_cost,transportation_cost,other_cost,state_tax_rate,pop,fica_tax_rate,federal_income_tax_rate,total_cost
111799999,2014,AL,3035.971767,1368,2528.386391,7524,3965.869168,2195.290565,0.04,195085,0.0765,0.0534,24120.43418
111999999,2014,AL,3035.971767,1368,2528.386391,5724,3965.869168,2195.290565,0.04,13763,0.0765,0.0534,22014.61418
112199999,2014,AL,3035.971767,1368,2528.386391,5016,3965.869168,2195.290565,0.04,82291,0.0765,0.0534,21186.32498
112399999,2014,AL,3035.971767,1368,2528.386391,5448,3965.869168,2195.290565,0.04,41616,0.0765,0.0534,21691.72178
112599999,2014,AL,3035.971767,1368,2528.386391,7392,3965.869168,2195.290565,0.04,194656,0.0765,0.0534,23966.00738
112799999,2014,AL,3035.971767,1368,2528.386391,5604,3965.869168,2195.290565,0.04,67023,0.0765,0.0534,21874.22618
112999999,2014,AL,3035.971767,1368,2528.386391,5724,3965.869168,2195.290565,0.04,17581,0.0765,0.0534,22014.61418
113199999,2014,AL,3035.971767,1368,2528.386391,5016,3965.869168,2195.290565,0.04,11670,0.0765,0.0534,21186.32498
113399999,2014,AL,3035.971767,1368,2528.386391,5724,3965.869168,2195.290565,0.04,24484,0.0765,0.0534,22014.61418
201399999,2014,AK,3264.485771,1292,2528.386391,7212,3965.869168,2195.290565,0,3141,0.0765,0.0534,23115.53024
201699999,2014,AK,3264.485771,1292,2528.386391,12732,3965.869168,2195.290565,0,5561,0.0765,0.0534,29352.57824
202099999,2014,AK,3264.485771,1292,2528.386391,10740,3965.869168,2195.290565,0,291826,0.0765,0.0534,27101.81744
205099999,2014,AK,3264.485771,1292,2528.386391,10500,3965.869168,2195.290565,0,17013,0.0765,0.0534,26830.64144
206099999,2014,AK,3264.485771,1292,2528.386391,8964,3965.869168,2195.290565,0,997,0.0765,0.0534,25095.11504
206899999,2014,AK,3264.485771,1292,2528.386391,6444,3965.869168,2195.290565,0,1826,0.0765,0.0534,22247.76704
207099999,2014,AK,3264.485771,1292,2528.386391,10440,3965.869168,2195.290565,0,4847,0.0765,0.0534,26762.84744
209099999,2014,AK,3264.485771,1292,2528.386391,11760,3965.869168,2195.290565,0,97581,0.0765,0.0534,28254.31544
