fips,10000,15000,20000,25000,30000,35000,40000,45000,50000,60000,75000,100000,125000,150000,200000,200000+
04003,4615,3151,2924,2624,3075,2968,2177,2445,2182,4680,4194,5642,3346,1994,1590,1239
04005,4608,2622,2574,2339,2614,2563,2270,2152,1978,3654,4117,5999,3386,2022,1956,1537
04007,1888,1450,1533,1713,1353,1089,1374,1160,1132,1827,1916,2201,1213,409,372,194
04009,1149,530,690,729,526,421,704,461,653,830,1230,1619,619,413,258,143
04011,146,186,207,276,177,173,140,262,120,477,336,454,280,112,63,37
04012,734,963,668,863,782,633,559,636,517,889,966,668,397,262,110,60
04013,98229,64744,72186,73679,72829,76218,69843,73825,61497,117503,144016,175343,117778,73200,68365,64989
04015,6780,5142,6564,6196,6307,5910,4906,5198,3939,7308,7544,7159,3529,1654,1271,1122
04017,5235,2665,2134,2284,2207,1922,1578,1694,1278,2859,3558,3202,1509,844,578,471
04019,32627,24575,22671,24149,23008,22128,20165,19559,17264,30247,38091,43768,26900,15616,13563,11824
04021,9320,4925,6246,6958,6908,7795,6839,6814,6863,12769,15259,16573,8883,4381,3366,2229
04023,1766,1318,1166,1009,1062,824,808,631,659,1518,1271,1485,763,574,437,223
04025,6619,5921,6026,6139,5880,5458,5245,5563,4827,8083,9827,9550,5653,2445,2450,1822
04027,5646,4265,4745,5291,4755,4910,4269,3631,3411,5906,7650,7129,3929,1836,1389,1153
05001,695,500,601,560,599,720,397,404,523,652,462,657,328,284,261,144
05003,914,720,729,689,534,655,505,385,324,658,773,864,435,120,148,65
05005,1203,1911,1764,1299,1646,1191,1040,990,927,1498,1924,1502,551,266,314,211
05007,3730,3491,3879,4178,4110,4383,4045,4282,4135,8028,8916,10671,7096,4205,4260,3782
05009,1362,1064,1032,1111,1084,1163,841,977,723,1343,1434,1204,664,379,218,256
05011,656,447,292,402,336,362,230,270,220,270,306,514,188,58,38,131
05013,185,204,199,163,155,125,54,135,128,92,169,191,144,100,2,16
05015,778,1055,716,913,919,743,861,636,658,915,965,941,356,207,308,98
05017,779,481,435,357,305,258,106,207,189,212,383,355,192,62,75,99
05019,1228,618,800,548,553,577,559,319,238,701,667,810,430,173,112,134
05021,692,682,699,462,637,471,399,354,349,530,570,451,219,100,86,28
05023,625,1088,826,703,708,657,453,547,549,976,829,1120,446,268,281,216
05025,351,174,205,180,286,173,207,152,142,257,311,303,302,125,59,43
05027,1366,843,665,606,532,543,332,493,386,707,811,939,630,334,246,76
05029,755,817,644,628,564,540,448,253,297,739,738,906,373,277,222,169
05031,3752,2665,2580,2463,2329,2076,2198,2074,1761,3163,3399,3921,1905,1494,1186,1115
05033,1869,1579,1901,1506,1455,1596,1601,1417,1220,2435,2301,2235,1143,517,372,343
