FIPS,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIT LWC,MIT Below LWC,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Taxes,MIDS Benefits,MIDS LW,MIDS Below LWC,4xTC Taxes,4xTC Benefits,4xTC LW,4xTC Below LWC,Daycare Tax,Daycare Benefits,Daycare LWC,Daycare Marriage Wage,Daycare Daycare Wage,Daycare Below LWC,Daycare Welfare Gap,UBI_12k Tax,UBI_12k Benefits,UBI_12k LWC,UBI_12k Below LWC,Expanded Safety Net Tax,Expanded Safety Net Benefits,Expanded Safety Net LWC,Expanded Safety Net Below LWC,Medical Net,Medical Tax,Medical Benefits,Medical LWC,Medical Below LWC
48495,5412,0,3022,4697,2144,2253,2019,19547,0.28,0,3022,3082,4697,1217,-2809,16874,0.16,563,-2724,16305,0.11,1210,-2724,16952,0.00,0.00,0.15,0.51,310,-14724,4052,0.05,1215,-2724,16957,0.28,15384,3232,-3082,16957,0.32
48507,5412,0,3022,4697,2144,2253,2019,19547,0.51,0,3022,3082,4697,1217,-2809,16874,0.46,563,-2724,16305,0.36,1210,-2724,16952,0.00,0.00,0.46,0.51,310,-14724,4052,0.16,1215,-2724,16957,0.51,15384,3232,-3082,16957,0.57
48363,5604,0,3022,4697,2144,2253,2041,19761,0.33,0,3022,3082,4493,1217,-2809,16862,0.26,563,-2724,16293,0.19,1210,-2724,16940,0.00,0.00,0.25,0.51,310,-14724,4040,0.06,1215,-2724,16945,0.26,15372,3232,-3082,16945,0.41
48173,5544,0,3022,4697,2144,2253,2034,19694,0.16,0,3022,3082,4527,1217,-2809,16836,0.13,563,-2724,16267,0.04,1210,-2724,16914,0.00,0.00,0.13,0.51,310,-14724,4014,0.01,1215,-2724,16919,0.13,15346,3232,-3082,16919,0.21
48239,5364,0,3022,4697,2144,2253,2014,19494,0.28,0,3022,3082,4697,1217,-2809,16826,0.23,563,-2724,16257,0.15,1210,-2724,16904,0.00,0.00,0.23,0.51,310,-14724,4004,0.05,1215,-2724,16909,0.23,15336,3232,-3082,16909,0.31
48389,5412,0,3022,4697,2144,2253,2019,19547,0.39,0,3022,3082,4647,1217,-2809,16824,0.28,563,-2724,16255,0.26,1210,-2724,16902,0.00,0.00,0.28,0.51,310,-14724,4002,0.09,1215,-2724,16907,0.28,15334,3232,-3082,16907,0.42
48305,5412,0,3022,4697,2144,2253,2019,19547,0.34,0,3022,3082,4617,1217,-2809,16794,0.24,563,-2724,16225,0.16,1210,-2724,16872,0.00,0.00,0.23,0.51,310,-14724,3972,0.07,1215,-2724,16877,0.24,15304,3232,-3082,16877,0.40
48061,5508,0,3022,4697,2144,2253,2030,19654,0.45,0,3022,3082,4517,1217,-2809,16790,0.36,563,-2724,16221,0.25,1210,-2724,16868,0.00,0.00,0.36,0.51,310,-14724,3968,0.11,1215,-2724,16873,0.37,15300,3232,-3082,16873,0.50
48215,5328,0,3022,4697,2144,2253,2010,19454,0.43,0,3022,3082,4619,1217,-2809,16712,0.35,563,-2724,16143,0.25,1210,-2724,16790,0.00,0.00,0.35,0.51,310,-14724,3890,0.10,1215,-2724,16795,0.36,15222,3232,-3082,16795,0.48
48351,5412,0,3022,4697,2144,2253,2019,19547,0.38,0,3022,3082,4524,1217,-2809,16701,0.30,563,-2724,16132,0.20,1210,-2724,16779,0.00,0.00,0.29,0.51,310,-14724,3879,0.06,1215,-2724,16784,0.30,15211,3232,-3082,16784,0.46
48503,5232,0,3022,4697,2144,2253,1999,19347,0.35,0,3022,3082,4697,1217,-2809,16694,0.23,563,-2724,16125,0.16,1210,-2724,16772,0.00,0.00,0.23,0.51,310,-14724,3872,0.06,1215,-2724,16777,0.24,15204,3232,-3082,16777,0.42
48007,5220,0,3022,4697,2144,2253,1997,19333,0.36,0,3022,3082,4680,1217,-2809,16665,0.25,563,-2724,16096,0.16,1210,-2724,16743,0.00,0.00,0.24,0.51,310,-14724,3843,0.05,1215,-2724,16748,0.25,15175,3232,-3082,16748,0.41
48471,5916,0,3022,4697,2144,2253,2077,20109,0.37,0,3022,3082,3953,1217,-2809,16634,0.30,563,-2724,16065,0.22,1210,-2724,16712,0.00,0.00,0.30,0.51,310,-14724,3812,0.11,1215,-2724,16717,0.31,15144,3232,-3082,16717,0.44
48277,5412,0,3022,4697,2144,2253,2019,19547,0.36,0,3022,3082,4424,1217,-2809,16601,0.27,563,-2724,16032,0.19,1210,-2724,16679,0.00,0.00,0.27,0.51,310,-14724,3779,0.05,1215,-2724,16684,0.28,15111,3232,-3082,16684,0.41
48145,5256,0,3022,4697,2144,2253,2001,19373,0.44,0,3022,3082,4575,1217,-2809,16596,0.32,563,-2724,16027,0.22,1210,-2724,16674,0.00,0.00,0.31,0.51,310,-14724,3774,0.06,1215,-2724,16679,0.32,15106,3232,-3082,16679,0.51
